case_number,case_id,created_at,case_subtype,symptom_summary,asset_name,channel,case_status,support_tier,platform,country,handle_time_minutes,transfers,resolved_flag,csat_score,sentiment_score
7000001,CSE000001,2025-06-14T00:00:00.000Z,Functionality,Refund request,Camera,Community,Closed,Tier 1,Android,US,25,0,1,5,1.0
7000002,CSE000002,2025-05-26T00:00:00.000Z,Billing,Refund request,Camera,Chat,Closed,Tier 1,Android,UK,21,0,0,5,1.0
7000003,CSE000003,2025-06-05T00:00:00.000Z,Inquiry,Device setup issue,Chime,Phone,In Progress,Tier 2,Android,US,22,0,1,2,-0.77
7000004,CSE000004,2025-06-11T00:00:00.000Z,Functionality,App login issues,Floodlight,Community,Closed,Tier 3,iOS,DE,18,1,1,3,0.07
7000005,CSE000005,2025-06-22T00:00:00.000Z,Connectivity,Camera offline,Doorbell,Community,Closed,Tier 2,iOS,CA,16,0,1,2,-1.0
7000006,CSE000006,2025-06-04T00:00:00.000Z,Shipping,Refund request,Floodlight,Phone,Closed,Tier 1,Android,DE,13,0,1,1,-0.99
7000007,CSE000007,2025-06-16T00:00:00.000Z,Account,Device setup issue,Floodlight,Email,Closed,Tier 1,Web,DE,6,0,1,2,-0.34
7000008,CSE000008,2025-06-26T00:00:00.000Z,Functionality,Device setup issue,Floodlight,Phone,Escalated,Tier 3,Android,DE,15,1,1,4,0.13
7000009,CSE000009,2025-05-15T00:00:00.000Z,Connectivity,Base station offline,Camera,Phone,In Progress,Tier 1,Android,CA,20,0,1,5,0.99
7000010,CSE000010,2025-07-01T00:00:00.000Z,Connectivity,Refund request,Camera,Phone,Closed,Tier 1,Web,DE,14,0,1,4,0.02
7000011,CSE000011,2025-05-02T00:00:00.000Z,Functionality,Order status,Floodlight,Phone,In Progress,Tier 2,Android,DE,31,1,1,4,0.82
7000012,CSE000012,2025-05-29T00:00:00.000Z,Functionality,Refund request,Floodlight,Phone,Closed,Tier 2,iOS,CA,17,2,1,2,-0.48
7000013,CSE000013,2025-06-15T00:00:00.000Z,Inquiry,No live stream,Camera,Chat,Closed,Tier 1,Android,DE,12,0,1,3,0.42
7000014,CSE000014,2025-06-10T00:00:00.000Z,Inquiry,No live stream,Chime,Chat,Closed,Tier 1,Unknown,DE,24,1,1,5,0.6
7000015,CSE000015,2025-05-18T00:00:00.000Z,Inquiry,No live stream,Camera,Chat,Closed,Tier 1,Android,UK,25,0,1,3,-0.38
