date,channel,offered_contacts,answered_contacts,abandoned_contacts,avg_aht_seconds,avg_asa_seconds,fcr_rate_pct,occupancy_pct,staffing_hours,labor_cost_usd
2025-05-01,Phone,29,19,10,942,35,89.5,79.5,6.25,174.21
2025-05-01,Chat,23,15,8,1067,22,93.3,76.1,5.84,159.54
2025-05-01,Email,16,9,7,682,20,88.9,78.4,2.17,43.45
2025-05-01,Web Form,20,6,14,716,30,83.3,78.7,1.52,36.94
2025-05-01,Community,15,1,14,1094,21,100.0,76.9,0.4,8.82
2025-05-02,Phone,17,14,3,1054,29,92.9,88.6,4.63,127.32
2025-05-02,Chat,27,18,9,982,21,88.9,85.2,5.76,137.07
2025-05-02,Email,12,5,7,735,15,80.0,73.9,1.38,33.6
2025-05-02,Web Form,6,2,4,978,25,100.0,77.8,0.7,15.97
2025-05-02,Community,7,5,2,505,20,100.0,76.3,0.92,24.47
2025-05-03,Phone,35,32,3,1152,34,90.6,87.3,11.72,269.85
2025-05-03,Chat,29,16,13,812,22,93.8,74.6,4.84,118.01
2025-05-03,Email,16,5,11,818,24,80.0,85.4,1.33,25.76
2025-05-03,Web Form,4,4,0,682,18,75.0,86.2,0.88,23.59
2025-05-03,Community,7,3,4,690,29,66.7,74.5,0.77,17.44
2025-05-04,Phone,38,31,7,1047,29,87.1,76.7,11.76,248.46
2025-05-04,Chat,33,22,11,815,16,81.8,74.3,6.71,178.0
2025-05-04,Email,21,13,8,882,15,100.0,79.3,4.02,116.07
2025-05-04,Web Form,8,1,7,733,27,100.0,96.0,0.21,5.86
2025-05-04,Community,7,4,3,656,12,100.0,79.5,0.92,22.53
2025-05-05,Phone,35,24,11,1210,35,91.7,82.6,9.77,210.43
2025-05-05,Chat,29,20,9,861,29,75.0,73.2,6.53,125.44
2025-05-05,Email,18,8,10,776,14,100.0,71.0,2.43,58.67
2025-05-05,Web Form,14,8,6,804,6,62.5,84.3,2.12,61.01
2025-05-05,Community,9,3,6,907,18,100.0,77.7,0.97,19.36
2025-05-06,Phone,40,28,12,1184,53,89.3,96.0,9.59,259.89
2025-05-06,Chat,30,21,9,812,9,81.0,77.0,6.15,162.77
2025-05-06,Email,15,9,6,808,26,66.7,81.9,2.47,54.88
2025-05-06,Web Form,13,5,8,748,22,60.0,78.5,1.32,38.14
2025-05-07,Phone,23,23,0,1196,43,91.3,80.3,9.52,204.52
2025-05-07,Chat,23,11,12,894,10,100.0,88.3,3.09,74.61
2025-05-07,Email,21,9,12,608,21,88.9,83.4,1.82,46.85
2025-05-07,Web Form,14,2,12,1040,12,100.0,80.1,0.72,18.55
2025-05-07,Community,12,5,7,516,14,80.0,78.7,0.91,18.77
2025-05-08,Phone,39,29,10,1142,34,93.1,82.7,11.13,317.6
2025-05-08,Chat,18,15,3,876,19,86.7,85.9,4.25,122.78
2025-05-08,Email,21,14,7,853,10,100.0,91.3,3.63,94.92
2025-05-08,Web Form,12,2,10,844,33,100.0,82.7,0.57,11.45
2025-05-08,Community,17,5,12,616,29,80.0,83.6,1.02,20.56
2025-05-09,Phone,36,32,4,1076,23,96.9,83.5,11.46,288.58
2025-05-09,Chat,13,13,0,910,12,92.3,74.4,4.42,110.78
2025-05-09,Email,15,11,4,874,32,100.0,80.6,3.31,79.25
2025-05-09,Web Form,10,7,3,906,19,100.0,88.7,1.99,45.93
2025-05-09,Community,9,1,8,1257,26,100.0,81.3,0.43,10.76
